Key,en-US,uk-UA,ru-UA,Description
aruba_country,Aruba,Аруба,Аруба,Country name for Aruba
afghanistan_country,Afghanistan,Афганістан,Афганистан,Country name for Afghanistan
angola_country,Angola,Ангола,Ангола,Country name for Angola
anguilla_country,Anguilla,Ангілья,Ангвилла,Country name for Anguilla
aland_islands_country,Åland Islands,Аландські острови,Аландские острова,Country name for Åland Islands
albania_country,Albania,Албанія,Албания,Country name for Albania
andorra_country,Andorra,Андорра,Андорра,Country name for Andorra
united_arab_emirates_country,United Arab Emirates,Об’єднані Арабські Емірати,Объединённые Арабские Эмираты,Country name for United Arab Emirates
argentina_country,Argentina,Аргентина,Аргентина,Country name for Argentina
armenia_country,Armenia,Вірменія,Армения,Country name for Armenia
american_samoa_country,American Samoa,Американське Самоа,Американские Самоа,Country name for American Samoa
antarctica_country,Antarctica,Антарктида,Антарктика,Country name for Antarctica
french_southern_territories_country,French Southern Territories,Французькі Південні Території,Французские южные территории,Country name for French Southern Territories
antigua_and_barbuda_country,Antigua and Barbuda,Антигуа і Барбуда,Антигуа и Барбуда,Country name for Antigua and Barbuda
australia_country,Australia,Австралія,Австралия,Country name for Australia
austria_country,Austria,Австрія,Австрия,Country name for Austria
azerbaijan_country,Azerbaijan,Азербайджан,Азербайджан,Country name for Azerbaijan
burundi_country,Burundi,Бурунді,Бурунди,Country name for Burundi
belgium_country,Belgium,Бельгія,Бельгия,Country name for Belgium
benin_country,Benin,Бенін,Бенин,Country name for Benin
bonaire_country,Bonaire,Бонайре,Бонайре,"Country name for Bonaire, Sint Eustatius and Saba"
burkina_faso_country,Burkina Faso,Буркіна-Фасо,Буркина-Фасо,Country name for Burkina Faso
bangladesh_country,Bangladesh,Бангладеш,Бангладеш,Country name for Bangladesh
bulgaria_country,Bulgaria,Болгарія,Болгария,Country name for Bulgaria
bahrain_country,Bahrain,Бахрейн,Бахрейн,Country name for Bahrain
bahamas_country,Bahamas,Багамські острови,Багамы,Country name for Bahamas
bosnia_and_herzegovina_country,Bosnia and Herzegovina,Боснія та Герцеговина,Босния и Герцеговина,Country name for Bosnia and Herzegovina
saint_barthelemy_country,Saint Barthélemy,Сен-Бартельмі,Сен-Бартельми,Country name for Saint Barthélemy
belarus_country,Belarus,Білорусь,Беларусь,Country name for Belarus
belize_country,Belize,Беліз,Белиз,Country name for Belize
bermuda_country,Bermuda,Бермуди,Бермуды,Country name for Bermuda
bolivia_country,Bolivia,Болівія,Боливия,"Country name for Bolivia, Plurinational State of"
brazil_country,Brazil,Бразилія,Бразилия,Country name for Brazil
barbados_country,Barbados,Барбадос,Барбадос,Country name for Barbados
brunei_darussalam_country,Brunei Darussalam,Бруней,Бруней Даруссалам,Country name for Brunei Darussalam
bhutan_country,Bhutan,Бутан,Бутан,Country name for Bhutan
bouvet_island_country,Bouvet Island,Острів Буве,Остров Буве,Country name for Bouvet Island
botswana_country,Botswana,Ботсвана,Ботсвана,Country name for Botswana
central_african_republic_country,Central African Republic,Центральноафриканська Республіка,Центрально-африканская республика,Country name for Central African Republic
canada_country,Canada,Канада,Канада,Country name for Canada
cocos_keeling_islands_country,Cocos (Keeling) Islands,Кокосові (Кілінг) острови,Кокосовые острова ,Country name for Cocos (Keeling) Islands
switzerland_country,Switzerland,Швейцарія,Швейцария,Country name for Switzerland
chile_country,Chile,Чилі,Чили,Country name for Chile
china_country,China,Китай,Китай,Country name for China
cote_divoire_country,Côte d'Ivoire,Кот-д'Івуар,Кот-д'Ивуар,Country name for Côte d'Ivoire
cameroon_country,Cameroon,Камерун,Камерун,Country name for Cameroon
congo_country,Congo,Конго,Демократическая Республика Конго,"Country name for Congo, The Democratic Republic of the"
congo_country,Congo,Конго,Конго,Country name for Congo
cook_islands_country,Cook Islands,Острови Кука,Острова Кука,Country name for Cook Islands
colombia_country,Colombia,Колумбія,Колумбия,Country name for Colombia
comoros_country,Comoros,Коморські острови,Коморские острова,Country name for Comoros
cabo_verde_country,Cabo Verde,Cabo Verde,Cabo Verde,Country name for Cabo Verde
costa_rica_country,Costa Rica,Коста-Рика,Коста-Рика,Country name for Costa Rica
cuba_country,Cuba,Куба,Куба,Country name for Cuba
curacao_country,Curaçao,Кюрасао,Кюрасао,Country name for Curaçao
christmas_island_country,Christmas Island,Острів Різдва,Остров Рождества,Country name for Christmas Island
cayman_islands_country,Cayman Islands,Кайманові острови,Каймановы острова,Country name for Cayman Islands
cyprus_country,Cyprus,Кіпр,Кипр,Country name for Cyprus
czechia_country,Czechia,Czechia,Czechia,Country name for Czechia
germany_country,Germany,Німеччина,Германия,Country name for Germany
djibouti_country,Djibouti,Джибуті,Джибути,Country name for Djibouti
dominica_country,Dominica,Домініка,Доминика,Country name for Dominica
denmark_country,Denmark,Данія,Дания,Country name for Denmark
dominican_republic_country,Dominican Republic,Домініканська республіка,Доминиканская республика,Country name for Dominican Republic
algeria_country,Algeria,Алжир,Алжир,Country name for Algeria
ecuador_country,Ecuador,Еквадор,Эквадор,Country name for Ecuador
egypt_country,Egypt,Єгипет,Египет,Country name for Egypt
eritrea_country,Eritrea,Еритрея,Эритрея,Country name for Eritrea
western_sahara_country,Western Sahara,Західна Сахара,Западная Сахара,Country name for Western Sahara
spain_country,Spain,Іспанія,Испания,Country name for Spain
estonia_country,Estonia,Естонія,Эстония,Country name for Estonia
ethiopia_country,Ethiopia,Ефіопія,Эфиопия,Country name for Ethiopia
finland_country,Finland,Фінляндія,Финляндия,Country name for Finland
fiji_country,Fiji,Фіджі,Фиджи,Country name for Fiji
falkland_islands_malvinas_country,Falkland Islands (Malvinas),Фолклендські острови (Британія),Фолклендские (Мальвинские) острова,Country name for Falkland Islands (Malvinas)
france_country,France,Франція,Франция,Country name for France
faroe_islands_country,Faroe Islands,Фарерські острови,Фарерские острова,Country name for Faroe Islands
micronesia_country,Micronesia,Мікронезія,Федеративные Штаты Микронезии,"Country name for Micronesia, Federated States of"
gabon_country,Gabon,Габон,Габон,Country name for Gabon
united_kingdom_country,United Kingdom,Великобританія,Соединённое Королевство,Country name for United Kingdom
georgia_country,Georgia,Грузія,Грузия,Country name for Georgia
guernsey_country,Guernsey,Острів Гернсі,Гернси,Country name for Guernsey
ghana_country,Ghana,Гана,Гана,Country name for Ghana
gibraltar_country,Gibraltar,Гібралтар,Гибралтар,Country name for Gibraltar
guinea_country,Guinea,Гвінея,Гвинея,Country name for Guinea
guadeloupe_country,Guadeloupe,Гваделупа,Гваделупа,Country name for Guadeloupe
gambia_country,Gambia,Гамбія,Гамбия,Country name for Gambia
guinea-bissau_country,Guinea-Bissau,Гвінея-Бісау,Гвинея-Бисау,Country name for Guinea-Bissau
equatorial_guinea_country,Equatorial Guinea,Екваторіальна Гвінея,Экваториальная Гвинея,Country name for Equatorial Guinea
greece_country,Greece,Греція,Греция,Country name for Greece
grenada_country,Grenada,Гренада,Гренада,Country name for Grenada
greenland_country,Greenland,Гренландія,Гренландия,Country name for Greenland
guatemala_country,Guatemala,Гватемала,Гватемала,Country name for Guatemala
french_guiana_country,French Guiana,Французька Гвіана,Французская Гвиана,Country name for French Guiana
guam_country,Guam,Гуам,Гуам,Country name for Guam
guyana_country,Guyana,Гайяна,Гайана,Country name for Guyana
hong_kong_country,Hong Kong,Гонконг,Гонконг,Country name for Hong Kong
heard_island_and_mcdonald_islands_country,Heard Island and McDonald Islands,Острови Херд і Мак-Дональд,Остров Херд и острова МакДональд,Country name for Heard Island and McDonald Islands
honduras_country,Honduras,Гондурас,Гондурас,Country name for Honduras
croatia_country,Croatia,Хорватія,Хорватия,Country name for Croatia
haiti_country,Haiti,Гаїті,Гаити,Country name for Haiti
hungary_country,Hungary,Угорщина,Венгрия,Country name for Hungary
indonesia_country,Indonesia,Індонезія,Индонезия,Country name for Indonesia
isle_of_man_country,Isle of Man,Острів Мен,Остров Мэн,Country name for Isle of Man
india_country,India,Індія,Индия,Country name for India
british_indian_ocean_territory_country,British Indian Ocean Territory,Британські Території в Індійському океані,Британская территория Индийского океана,Country name for British Indian Ocean Territory
ireland_country,Ireland,Ірландія,Ирландия,Country name for Ireland
iran_country,Iran,Іран,Иран,"Country name for Iran, Islamic Republic of"
iraq_country,Iraq,Ірак,Ирак,Country name for Iraq
iceland_country,Iceland,Ісландія,Исландия,Country name for Iceland
israel_country,Israel,Ізраїль,Израиль,Country name for Israel
italy_country,Italy,Італія,Италия,Country name for Italy
jamaica_country,Jamaica,Ямайка,Ямайка,Country name for Jamaica
jersey_country,Jersey,Джерсі,Джерси,Country name for Jersey
jordan_country,Jordan,Йорданія,Иордания,Country name for Jordan
japan_country,Japan,Японія,Япония,Country name for Japan
kazakhstan_country,Kazakhstan,Казахстан,Казахстан,Country name for Kazakhstan
kenya_country,Kenya,Кенія,Кения,Country name for Kenya
kyrgyzstan_country,Kyrgyzstan,Киргизстан,Кыргызстан,Country name for Kyrgyzstan
cambodia_country,Cambodia,Камбоджа,Камбоджа,Country name for Cambodia
kiribati_country,Kiribati,Кірибаті,Кирибати,Country name for Kiribati
saint_kitts_and_nevis_country,Saint Kitts and Nevis,Сент-Кітс і Невіс,Сент-Китс и Невис,Country name for Saint Kitts and Nevis
korea_country,Korea,Південна Корея,Республика Корея,"Country name for Korea, Republic of"
kuwait_country,Kuwait,Кувейт,Кувейт,Country name for Kuwait
lao_peoples_democratic_republic_country,Lao People's Democratic Republic,Лаоська Народно-Демократична Республіка,Лаосская Народно-Демократическая Республика,Country name for Lao People's Democratic Republic
lebanon_country,Lebanon,Ліван,Ливан,Country name for Lebanon
liberia_country,Liberia,Ліберія,Либерия,Country name for Liberia
libya_country,Libya,Лівія,Ливия,Country name for Libya
saint_lucia_country,Saint Lucia,Сент-Люсія,Сент-Люсия,Country name for Saint Lucia
liechtenstein_country,Liechtenstein,Ліхтенштейн,Лихтенштейн,Country name for Liechtenstein
sri_lanka_country,Sri Lanka,Шрі-Ланка,Шри-Ланка,Country name for Sri Lanka
lesotho_country,Lesotho,Лесото,Лесото,Country name for Lesotho
lithuania_country,Lithuania,Литва,Литва,Country name for Lithuania
luxembourg_country,Luxembourg,Люксембург,Люксембург,Country name for Luxembourg
latvia_country,Latvia,Латвія,Латвия,Country name for Latvia
macao_country,Macao,Макао,Аомынь,Country name for Macao
saint_martin_french_part_country,Saint Martin (French part),Сен-Мартен (французька частина),Сен-Мартен (Франция),Country name for Saint Martin (French part)
morocco_country,Morocco,Марокко,Марокко,Country name for Morocco
monaco_country,Monaco,Монако,Монако,Country name for Monaco
moldova_country,Moldova,Республіка Молдова,Республика Молдова,"Country name for Moldova, Republic of"
madagascar_country,Madagascar,Мадагаскар,Мадагаскар,Country name for Madagascar
maldives_country,Maldives,Мальдіви,Мальдивы,Country name for Maldives
mexico_country,Mexico,Мексика,Мексика,Country name for Mexico
marshall_islands_country,Marshall Islands,Маршаллові острови,Маршалловы острова,Country name for Marshall Islands
north_macedonia_country,North Macedonia,North Macedonia,North Macedonia,Country name for North Macedonia
mali_country,Mali,Малі,Мали,Country name for Mali
malta_country,Malta,Мальта,Мальта,Country name for Malta
myanmar_country,Myanmar,М’янма,Мьянма,Country name for Myanmar
montenegro_country,Montenegro,Чорногорія,Черногория,Country name for Montenegro
mongolia_country,Mongolia,Монголія,Монголия,Country name for Mongolia
northern_mariana_islands_country,Northern Mariana Islands,Північні Маріанські Острови,Острова северной Марианы,Country name for Northern Mariana Islands
mozambique_country,Mozambique,Мозамбік,Мозамбик,Country name for Mozambique
mauritania_country,Mauritania,Мавританія,Мавритания,Country name for Mauritania
montserrat_country,Montserrat,Монтсеррат,Монсеррат,Country name for Montserrat
martinique_country,Martinique,Мартиніка,Мартиника,Country name for Martinique
mauritius_country,Mauritius,Маврикій,Маврикий,Country name for Mauritius
malawi_country,Malawi,Малаві,Малави,Country name for Malawi
malaysia_country,Malaysia,Малайзія,Малайзия,Country name for Malaysia
mayotte_country,Mayotte,Майотта,Майот,Country name for Mayotte
namibia_country,Namibia,Намібія,Намибия,Country name for Namibia
new_caledonia_country,New Caledonia,Нова Каледонія,Новая Каледония,Country name for New Caledonia
niger_country,Niger,Нігер,Нигер,Country name for Niger
norfolk_island_country,Norfolk Island,Острів Норфолк,Остров Норфолк,Country name for Norfolk Island
nigeria_country,Nigeria,Нігерія,Нигерия,Country name for Nigeria
nicaragua_country,Nicaragua,Нікарагуа,Никарагуа,Country name for Nicaragua
niue_country,Niue,Ніуе,Ниуэ,Country name for Niue
netherlands_country,Netherlands,Нідерланди,Нидерланды,Country name for Netherlands
norway_country,Norway,Норвегія,Норвегия,Country name for Norway
nepal_country,Nepal,Непал,Непал,Country name for Nepal
nauru_country,Nauru,Науру,Науру,Country name for Nauru
new_zealand_country,New Zealand,Нова Зеландія,Новая Зеландия,Country name for New Zealand
oman_country,Oman,Оман,Оман,Country name for Oman
pakistan_country,Pakistan,Пакистан,Пакистан,Country name for Pakistan
panama_country,Panama,Панама,Панама,Country name for Panama
pitcairn_country,Pitcairn,Піткерн,Питкэрн,Country name for Pitcairn
peru_country,Peru,Перу,Перу,Country name for Peru
philippines_country,Philippines,Філіппіни,Филиппины,Country name for Philippines
palau_country,Palau,Палау,Палау,Country name for Palau
papua_new_guinea_country,Papua New Guinea,Папуа-Нова Гвінея,Папуа — Новая Гвинея,Country name for Papua New Guinea
poland_country,Poland,Польща,Польша,Country name for Poland
puerto_rico_country,Puerto Rico,Пуерто-Рико,Пуэрто-Рико,Country name for Puerto Rico
korea_country,Korea,Північна Корея,Корейская Народно-Демократическая Республика,"Country name for Korea, Democratic People's Republic of"
portugal_country,Portugal,Португалія,Португалия,Country name for Portugal
paraguay_country,Paraguay,Парагвай,Парагвай,Country name for Paraguay
palestine_country,Palestine,Палестина,Палестина,"Country name for Palestine, State of"
french_polynesia_country,French Polynesia,Французька Полінезія,Французская Полинезия,Country name for French Polynesia
qatar_country,Qatar,Катар,Катар,Country name for Qatar
reunion_country,Réunion,Реюньйон,Реюньон,Country name for Réunion
romania_country,Romania,Румунія,Румыния,Country name for Romania
russian_federation_country,Russian Federation,Російська Федерація,Российская Федерация,Country name for Russian Federation
rwanda_country,Rwanda,Руанда,Руанда,Country name for Rwanda
saudi_arabia_country,Saudi Arabia,Саудівська Аравія,Саудовская Аравия,Country name for Saudi Arabia
sudan_country,Sudan,Судан,Судан,Country name for Sudan
senegal_country,Senegal,Сенегал,Сенегал,Country name for Senegal
singapore_country,Singapore,Сінгапур,Сингапур,Country name for Singapore
south_georgia_and_the_south_sandwich_islands_country,South Georgia and the South Sandwich Islands,Південна Георгія і Південні Сандвічеві Острови,Южная Джорджия и Южные Сандвичевы острова ,Country name for South Georgia and the South Sandwich Islands
saint_helena_country,Saint Helena,Острів Святої Єлени,Остров Святой Елены,"Country name for Saint Helena, Ascension and Tristan da Cunha"
svalbard_and_jan_mayen_country,Svalbard and Jan Mayen,Острови Свальбард і Ян Маєн,Шпицберген и Ян-Майен,Country name for Svalbard and Jan Mayen
solomon_islands_country,Solomon Islands,Соломонові Острови,Соломоновы Острова,Country name for Solomon Islands
sierra_leone_country,Sierra Leone,Сьєрра-Леоне,Сьерра-Леоне,Country name for Sierra Leone
el_salvador_country,El Salvador,Сальвадор,Сальвадор,Country name for El Salvador
san_marino_country,San Marino,Сан-Марино,Сан-Марино,Country name for San Marino
somalia_country,Somalia,Сомалі,Сомали,Country name for Somalia
saint_pierre_and_miquelon_country,Saint Pierre and Miquelon,Сен-П'єр і Мікелон,Сен-Пьер и Микелон,Country name for Saint Pierre and Miquelon
serbia_country,Serbia,Сербія,Сербия,Country name for Serbia
south_sudan_country,South Sudan,Південний Судан,Южный Судан,Country name for South Sudan
sao_tome_and_principe_country,Sao Tome and Principe,Сан-Томе і Принсипі,Сан-Томе и Принсипи,Country name for Sao Tome and Principe
suriname_country,Suriname,Суринам,Суринам,Country name for Suriname
slovakia_country,Slovakia,Словаччина,Словакия,Country name for Slovakia
slovenia_country,Slovenia,Словенія,Словения,Country name for Slovenia
sweden_country,Sweden,Швеція,Швеция,Country name for Sweden
eswatini_country,Eswatini,Eswatini,Eswatini,Country name for Eswatini
sint_maarten_dutch_part_country,Sint Maarten (Dutch part),Сінт-Мартен (голландська частина),Синт-Мартен (голландская часть),Country name for Sint Maarten (Dutch part)
seychelles_country,Seychelles,Сейшели,Сейшельские Острова,Country name for Seychelles
syrian_arab_republic_country,Syrian Arab Republic,Сирійська Арабська Республіка,Сирийская Арабская Республика,Country name for Syrian Arab Republic
turks_and_caicos_islands_country,Turks and Caicos Islands,Острови Теркс і Кайкос,Острова Туркс и Каикос,Country name for Turks and Caicos Islands
chad_country,Chad,Чад,Чад,Country name for Chad
togo_country,Togo,Того,Того,Country name for Togo
thailand_country,Thailand,Таїланд,Таиланд,Country name for Thailand
tajikistan_country,Tajikistan,Таджикистан,Таджикистан,Country name for Tajikistan
tokelau_country,Tokelau,Токелау,Токелау,Country name for Tokelau
turkmenistan_country,Turkmenistan,Туркменістан,Туркменистан,Country name for Turkmenistan
timor-leste_country,Timor-Leste,Східний Тимор,Восточный Тимор,Country name for Timor-Leste
tonga_country,Tonga,Тонга,Тонга,Country name for Tonga
trinidad_and_tobago_country,Trinidad and Tobago,Тринідад та Тобаго,Тринидад и Тобаго,Country name for Trinidad and Tobago
tunisia_country,Tunisia,Туніс,Тунис,Country name for Tunisia
turkey_country,Turkey,Туреччина,Турция,Country name for Turkey
tuvalu_country,Tuvalu,Тувалу,Тувалу,Country name for Tuvalu
taiwan_country,Taiwan,Тайвань,Китайская провинция Тайвань,"Country name for Taiwan, Province of China"
tanzania_country,Tanzania,Танзанія,Танзания,"Country name for Tanzania, United Republic of"
uganda_country,Uganda,Уганда,Уганда,Country name for Uganda
ukraine_country,Ukraine,Україна,Украина,Country name for Ukraine
united_states_minor_outlying_islands_country,United States Minor Outlying Islands,Американські Малі Віддалені Острови,Соединенные штаты Малых  Удаленных островов,Country name for United States Minor Outlying Islands
uruguay_country,Uruguay,Уругвай,Уругвай,Country name for Uruguay
united_states_country,United States,США,Соединённые штаты,Country name for United States
uzbekistan_country,Uzbekistan,Узбекистан,Узбекистан,Country name for Uzbekistan
holy_see_vatican_city_state_country,Holy See (Vatican City State),Святий Престол (Ватикан,Государство-город Ватикан,Country name for Holy See (Vatican City State)
saint_vincent_and_the_grenadines_country,Saint Vincent and the Grenadines,Сент-Вінсент і Гренадини,Сент-Винсент и Гренадины,Country name for Saint Vincent and the Grenadines
venezuela_country,Venezuela,Венесуела,Боливарианская Республика Венесуэла,"Country name for Venezuela, Bolivarian Republic of"
virgin_islands_country,Virgin Islands,Віргінські острови (Британія),Виргинские острова (Британия),"Country name for Virgin Islands, British"
virgin_islands_country,Virgin Islands,Віргінські острови (США),Виргинские острова (США),"Country name for Virgin Islands, U.S."
viet_nam_country,Viet Nam,В'єтнам,Вьетнам,Country name for Viet Nam
vanuatu_country,Vanuatu,Вануату,Вануату,Country name for Vanuatu
wallis_and_futuna_country,Wallis and Futuna,Уолліс і Футуна,Уоллес и Футана,Country name for Wallis and Futuna
samoa_country,Samoa,Самоа,Самоа,Country name for Samoa
yemen_country,Yemen,Ємен,Йемен,Country name for Yemen
south_africa_country,South Africa,Південна Африка,Южная Африка,Country name for South Africa
zambia_country,Zambia,Замбія,Замбия,Country name for Zambia
zimbabwe_country,Zimbabwe,Зімбабве,Зимбабве,Country name for Zimbabwe
